Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTT,2020-11-11,0.0002925376,0.0002945498,0.0002959535,0.0002921557
BTT,2020-11-12,0.0002883898,0.0002920045,0.0002935331,0.0002868102
BTT,2020-11-13,0.0002912764,0.0002871715,0.0002957808,0.0002861323
BTT,2020-11-14,0.0002903916,0.000291759,0.0002938298,0.0002866165
BTT,2020-11-15,0.0002902308,0.0002911706,0.0003010241,0.0002878909
BTT,2020-11-16,0.0002930111,0.0002905484,0.0002946879,0.0002886519
BTT,2020-11-17,0.0002976882,0.0002931393,0.000300478,0.0002927814
BTT,2020-11-18,0.0002992534,0.0002975394,0.0002996962,0.0002944447
BTT,2020-11-19,0.0002944796,0.0003000707,0.0003007079,0.0002912607
BTT,2020-11-20,0.0002972224,0.0002942824,0.0003004321,0.0002939283
BTT,2020-11-21,0.0003208587,0.0002986561,0.0003268645,0.0002969343
BTT,2020-11-22,0.0003180749,0.0003270107,0.0003288089,0.0003038989
BTT,2020-11-23,0.0003291066,0.0003114051,0.0003301453,0.0003067091
BTT,2020-11-24,0.0003526255,0.0003280574,0.0003671704,0.0003270802
BTT,2020-11-25,0.0003400842,0.0003579443,0.000366845,0.0003349096
BTT,2020-11-26,0.0003097893,0.0003408541,0.0003509552,0.0002922876
BTT,2020-11-27,0.0003071448,0.0003110029,0.0003146051,0.0002963697
BTT,2020-11-28,0.0003199822,0.000312041,0.0003227283,0.0003031509
BTT,2020-11-29,0.0003176374,0.0003187795,0.0003249238,0.0003144214
BTT,2020-11-30,0.0003779553,0.0003189958,0.0004152709,0.0003134473
BTT,2020-12-01,0.0003455853,0.0003792272,0.000389477,0.0003245109
BTT,2020-12-02,0.0003430965,0.0003420792,0.0003519923,0.0003365176
BTT,2020-12-03,0.0003447074,0.0003459524,0.0003471327,0.0003394209
BTT,2020-12-04,0.000323552,0.0003442781,0.0003449972,0.0003234417
BTT,2020-12-05,0.0003405106,0.0003242414,0.0003505918,0.0003214282
BTT,2020-12-06,0.0003449134,0.0003436345,0.0003502624,0.0003357877
BTT,2020-12-07,0.0003309651,0.0003452751,0.0003460842,0.0003306334
BTT,2020-12-08,0.00032199,0.0003324074,0.0003362714,0.0003191066
BTT,2020-12-09,0.0003269286,0.0003210252,0.0003281345,0.0003070399
BTT,2020-12-10,0.0003158841,0.0003261573,0.0003268336,0.0003107995
BTT,2020-12-11,0.0003100091,0.0003132006,0.0003137588,0.0003026798
BTT,2020-12-12,0.00031934,0.0003055825,0.0003197441,0.0003050691
BTT,2020-12-13,0.0003195334,0.0003162363,0.0003245147,0.0003161055
BTT,2020-12-14,0.0003354164,0.0003197794,0.0003401722,0.0003145306
BTT,2020-12-15,0.0003232322,0.0003339326,0.0003350801,0.0003227946
BTT,2020-12-16,0.000337187,0.0003238681,0.00033865,0.000321325
BTT,2020-12-17,0.0003298512,0.0003406469,0.0003423625,0.000326644
BTT,2020-12-18,0.0003313667,0.0003275061,0.0003351445,0.0003234331
BTT,2020-12-19,0.0003392511,0.0003322545,0.0003412247,0.0003297107
BTT,2020-12-20,0.0003351022,0.0003398029,0.0003448861,0.0003297959
BTT,2020-12-21,0.0003241253,0.0003366341,0.0003409743,0.0003189482
BTT,2020-12-22,0.0003167278,0.0003201463,0.0003229811,0.0003088207
BTT,2020-12-23,0.0002790097,0.0003189362,0.0003209105,0.0002712788
BTT,2020-12-24,0.0002975923,0.0002762343,0.0002982677,0.0002713987
BTT,2020-12-25,0.0003059395,0.0003005396,0.000310808,0.0002962199
BTT,2020-12-26,0.0002982082,0.0003073779,0.0003078125,0.0002959925
BTT,2020-12-27,0.0002957902,0.0002991819,0.0003073212,0.0002858271
BTT,2020-12-28,0.0003008372,0.0002975893,0.0003077433,0.0002956096
BTT,2020-12-29,0.0002886809,0.0002998272,0.0003025151,0.0002824658
BTT,2020-12-30,0.0002925921,0.0002906923,0.0002936955,0.0002810224
BTT,2020-12-31,0.0002885971,0.0002935455,0.0002940254,0.0002814118
BTT,2021-01-01,0.0002931347,0.0002880866,0.0002947201,0.0002873594
BTT,2021-01-02,0.0003311241,0.0002933477,0.0003640505,0.0002888939
BTT,2021-01-03,0.0003122902,0.0003364409,0.0003371447,0.0003073333
BTT,2021-01-04,0.0003139304,0.0003105116,0.0003311176,0.000290962
BTT,2021-01-05,0.0003118293,0.0003137061,0.000315127,0.0002911199
BTT,2021-01-06,0.0003261504,0.0003109764,0.0003359577,0.0003055413
BTT,2021-01-07,0.0003371026,0.0003244423,0.0003485138,0.0003180618
BTT,2021-01-08,0.0003287517,0.0003322794,0.0003336537,0.0003150912
BTT,2021-01-09,0.0004091718,0.0003311963,0.0005325027,0.0003310871
BTT,2021-01-10,0.0003895878,0.0004093113,0.0004531236,0.0003694537
BTT,2021-01-11,0.0003439122,0.0004284145,0.0004324026,0.0003163681
BTT,2021-01-12,0.0003602182,0.0003501506,0.0003734817,0.0003382088
BTT,2021-01-13,0.0003637822,0.0003529356,0.0003977247,0.0003434087
BTT,2021-01-14,0.0003571501,0.0003645874,0.0003673256,0.0003496934
BTT,2021-01-15,0.0003511463,0.0003641903,0.0003691669,0.000337168
BTT,2021-01-16,0.000359949,0.0003512264,0.0003788876,0.0003501546
BTT,2021-01-17,0.0003644148,0.0003650855,0.0003691802,0.0003448688
BTT,2021-01-18,0.0003637984,0.000358272,0.0003679135,0.000355859
BTT,2021-01-19,0.000378493,0.0003696051,0.0004041774,0.0003631504
BTT,2021-01-20,0.0003633702,0.0003723384,0.0003769712,0.0003494896
BTT,2021-01-21,0.0003317987,0.0003639918,0.0003650413,0.0003308785
BTT,2021-01-22,0.0003483118,0.0003333344,0.0003491302,0.0003183059
BTT,2021-01-23,0.0003531022,0.0003440121,0.000360541,0.0003391721
BTT,2021-01-24,0.0003669238,0.0003550602,0.0004035061,0.0003541629
BTT,2021-01-25,0.0003606805,0.0003777379,0.0003894842,0.0003591704
BTT,2021-01-26,0.0003634031,0.0003637587,0.0003730601,0.0003537348
BTT,2021-01-27,0.000341747,0.0003629595,0.0003630224,0.0003336897
BTT,2021-01-28,0.0003702587,0.0003383507,0.0003724944,0.0003362301
BTT,2021-01-29,0.0003941453,0.0003705154,0.0004335858,0.0003646407
BTT,2021-01-30,0.0003850097,0.0003910256,0.0003951563,0.0003733329
BTT,2021-01-31,0.0003832067,0.0003824807,0.0004043111,0.0003731449
BTT,2021-02-01,0.0003795013,0.000382259,0.0003932145,0.0003724254
BTT,2021-02-02,0.0004206814,0.0003821371,0.0004339629,0.0003789207
BTT,2021-02-03,0.0004595351,0.000431973,0.0005006692,0.0004181351
BTT,2021-02-04,0.000439983,0.0004573482,0.0004605323,0.0004231161
BTT,2021-02-05,0.0004774859,0.0004345811,0.0004789011,0.0004320239
